account,date,classification,daily_pnl,trade_count,total_volume_usd,avg_trade_size_usd,win_rate,long_ratio,total_fees
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,Fear,8751.751449,182,559278.3,3072.9576923076925,0.2692307692307692,0.7307692307692307,187.917346
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,Greed,55.01524,9,16766.37,1862.9299999999998,0.2222222222222222,0.7777777777777778,3.659253
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,Fear,21703.816512999998,525,4431556.89,8441.060742857142,0.3238095238095238,0.5657142857142857,538.0863564464
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,Greed,155.50335699999994,1043,11509295.89,11034.799511025887,0.2751677852348993,0.46883988494726747,2783.498528
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,Extreme Greed,2606.8947559999997,3076,23499792.29,7639.724411573472,0.21879063719115735,0.49187256176853056,4561.206114
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,Neutral,62586.1816,1643,4723983.0,2875.2178940961658,0.20998174071819842,0.6202069385270846,2953.83210411
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,Greed,1421755.845871,1268,2746705.92,2166.171861198738,0.5670347003154574,0.1167192429022082,812.141368
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,Fear,553818.000465,7380,13421173.84,1818.587241192412,0.3910569105691057,0.4711382113821138,4707.64902071
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,Fear,22488.500821,4838,108877041.1,22504.555828854896,0.4386109962794543,0.48945845390657294,28643.173715
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,Fear,940157.212682,21190,68036326.2,3210.7751864086836,0.46753185464841907,0.5283152430391694,8596.700755219
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,Greed,11671.68,267,727783.42,2725.7805992509366,0.15355805243445692,0.18352059925093633,81.227387
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,Fear,325441.97721599997,2211,17917884.11,8103.972912709181,0.3722297602894618,0.4767073722297603,3999.85393243
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,Greed,684215.002602,9883,26617723.76,2693.2837964180917,0.5692603460487706,0.3128604674693919,2512.00733119
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,Fear,126967.976166,26651,41437969.8,1554.8373344339798,0.3848636073693295,0.4715770515177667,9512.31758037
