account,pnl_volatility,avg_daily_pnl,avg_win_rate,avg_trade_count
0x083384f897ee0f19899168e3b1bec365f52a9012,1594696.6427804816,800114.9099895,0.21575816912527282,1909.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2481.0390250481414,18853.086574,0.4831455208038494,1926.5
0x271b280974205ca63b716753467d5a371de622ab,16810.324711221998,10587.696143666666,0.4101525821596244,382.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,78803.7205356674,66157.7408425,0.4382462457785591,6633.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,45393.7982678346,84313.992027,0.5041174876271167,1617.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,30964.413944042426,-4617.4279065,0.19414872774471628,102.83333333333333
0x39cef799f8b69da1995852eea189df24eb5cae3c,39251.38738936482,7228.459668000001,0.4235405579745203,1794.5
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,27061.691165498392,26748.1236215,0.48694812669414433,166.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,118299.28661641778,99752.79636600001,0.23009302325581393,191.5
0x430f09841d65beb3f27765503d0f850b8bce7713,72509.12904270686,104135.46808525,0.5795973900106022,262.75
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,25879.553074420644,50982.821567,0.3518527444550567,4170.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,390500.89329457725,337201.997516,0.45342799559104363,2067.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,116302.38300087833,75321.97288225,0.33960062168627064,1869.75
0x513b8629fe877bb581bf244e326a047b249c4ff1,285318.75166853267,201750.8241045,0.2078068201488662,3000.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,66863.96996598267,54259.307451,0.6346153846153846,411.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,162123.1835270101,212907.5975325,0.4773828241193218,567.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,205207.94245249778,196841.5070795,0.21240287616186415,679.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,86720.03206263528,90394.155675,0.6525427199077096,2237.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,,14781.443047,0.4510939510939511,1554.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,138807.74309475298,98151.8964235,0.14381544502617802,1535.5
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,45607.29298463915,32260.943817,0.18860730875159287,928.0
0x8477e447846c758f5a675856001ea72298fd9cb5,30325.472764467504,25703.526257333335,0.31904297150736477,3738.6666666666665
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,64917.39714894605,54598.889067,0.23317573310667233,1402.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,6269.142867731186,44747.761448000005,0.3693499526052079,6742.5
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,41414.6924947144,24282.161424,0.4773045688426012,139.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,8608.14950223787,14838.6323355,0.4109311740890689,186.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,15308.01418469826,10879.4158765,0.27301587301587305,267.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,612159.0976384933,408184.4852098,0.33240635480576364,2882.0
0xb899e522b5715391ae1d4f137653e7906c5e2115,,22488.500821,0.4386109962794543,4838.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,,940157.212682,0.46753185464841907,21190.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,221869.10489635207,168556.82860799998,0.26289390636195936,1239.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,394033.1511889349,405591.489384,0.47706197670905004,18267.0
